1855,13165,0.8764980027,293,2984,False,19,29
-1,-1,-1,-1,-1,-1,-1,-1
180,1104,0.8598130841,452,376,False,9,307
7,2077,0.9966410749,614,1377,False,20,1766
130,126114,0.9989702481,1088,4247,False,10,19872
301,349,0.5369230769,23,208,False,11,3425
165,644,0.7960444994,233,1682,False,15,602
460,2646,0.8518995493,801,399,False,9,3535
247,5418,0.9563989409,230,263,False,9,6928
598846,1743179,0.7443041812,6836,3611,False,12,429
-1,-1,-1,-1,-1,-1,-1,-1
1717,3827,0.6902958153,305,1972,False,20,0
71,145961,0.9995138052,402,606,False,15,148925
3,7558,0.9996032271,5,67,False,19,5068
4976,5237,0.5127778322,7247,8823,False,11,5013
485,2188,0.8185559297,788,5442,False,20,39
194,11757,0.9837670488,317,340,False,7,22032
820,12485,0.9383690342,2956,3325,False,4,22839
1,3218,0.9996893445,0,1,False,0,0
223,213,0.4885321101,19,125,False,11,2644
22,1461,0.9851652057,0,2,False,0,0
215,7502,0.9721394324,974,1082,False,11,15822
4407,37513,0.8948711832,9260,8008,False,19,135
42,493,0.9214953271,30,161,False,20,289
8,121779,0.9999343115,1,2436,True,19,86
22,2584,0.9915579432,2728,1467,False,11,14946
87,6758,0.9872899927,1904,2070,False,11,8253
1801,9914,0.8462654716,1344,1907,False,15,2775
2497,70277,0.9656882953,290224,271692,False,0,89
685,5384,0.8871313231,606,404,False,10,16535
2,10954,0.9998174516,0,320,False,20,3
5348,5097,0.4879846817,394,529,False,0,12009
17,20805,0.9991835559,355,20231,False,13,1013
34,17232,0.9980308120,1151,2618,False,14,6822
2514,5023,0.6664455354,2028,2278,False,10,17333
240,14413,0.9836211015,2,9626,False,20,3
8928,18398,0.6732781966,5153,22736,False,13,2726
5490,6933,0.5580777590,6640,539,False,11,5697
320,874,0.7319932998,550,569,False,17,9408
4423,3804,0.4623799684,578,342,False,11,6041
72,33,0.3142857143,0,15,False,15,0
0,146,1.0000000000,0,3,False,3,0
138,2013,0.9358437936,107,415,False,8,1593
581,8984,0.9392577104,414,405,False,9,1602
1903,4567,0.7058732612,193,1949,False,14,27616
-1,-1,-1,-1,-1,-1,-1,-1
9923,11028,0.5263710563,8252,2812,False,20,118
6,2789,0.9978533095,2,39,False,9,0
284,32959,0.9914568481,143,16900,False,20,4
344,392,0.5326086957,64,54,False,15,42109
2608,3253,0.5550247398,198,301,False,14,10403
486,4828,0.9085434701,254,1090,False,14,11
4,20308,0.9998030721,26,36,False,20,21
38,5052,0.9925343811,3,2041,False,20,0
270,2087,0.8854476029,117,180,False,20,0
828,247919,0.9966713166,922,2041,False,15,3204
18,1186,0.9850498339,0,0,False,0,0
607,17295,0.9660931739,4548,5551,False,16,10330
197,3982,0.9528595358,1951,1971,False,7,24174
2,701,0.9971550498,0,64,False,20,0
214,85983,0.9975173150,1249,7568,False,17,0
-1,-1,-1,-1,-1,-1,-1,-1
112,5126,0.9786177931,136,442,False,18,264220
1307,7174,0.8458908148,30049,60378,False,14,202
212,1814,0.8953603159,342,441,False,19,0
945,3733,0.7979905943,995,1329,False,11,16541
1,1877,0.9994675186,0,0,False,0,0
585,8423,0.9350577265,36,30,False,14,11754
5,946,0.9947423764,65,149,False,18,1
-1,-1,-1,-1,-1,-1,-1,-1
1787,6585,0.7865504061,694,2866,False,7,1074
-1,-1,-1,-1,-1,-1,-1,-1
1494,47,0.0304996755,201,31,False,12,57854
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
279,7,0.0244755245,12,68,False,10,59495
1299,52,0.0384900074,216,451,False,9,2859
1494,53,0.0342598578,473,485,False,12,5778
757,28,0.0356687898,61,68,False,12,6285
709,29,0.0392953930,180,358,False,11,11484
-1,-1,-1,-1,-1,-1,-1,-1
1437,47,0.0316711590,253,490,False,9,1756
1207,74,0.0577673692,713,1286,False,15,13428
1173,32,0.0265560166,148,483,False,12,60465
203,9,0.0424528302,49,99,False,9,3884
211,90,0.2990033223,137,305,False,14,12393
175,221,0.5580808081,41,25,False,13,4467
534,10,0.0183823529,397,691,False,12,1143
95,12,0.1121495327,2,4,False,4,19
349,20,0.0542005420,86,57,False,12,40096
-1,-1,-1,-1,-1,-1,-1,-1
148,10,0.0632911392,130,117,False,10,6883
-1,-1,-1,-1,-1,-1,-1,-1
554,15,0.0263620387,155,28,False,17,5280
1341,150,0.1006036217,98,382,False,14,2088
49,3,0.0576923077,199,272,False,8,13409
-1,-1,-1,-1,-1,-1,-1,-1
232,5,0.0210970464,81,100,False,14,32639
2503,297,0.1060714286,7351,12629,False,12,1894
-1,-1,-1,-1,-1,-1,-1,-1
414,12,0.0281690141,315,0,False,0,0
4989,1356,0.2137115839,4658,6842,False,6,715
0,90,1.0000000000,879,2323,False,12,11193
317,234,0.4246823956,45,129,False,16,544
315,10,0.0307692308,163,356,False,11,4942
755,1558,0.6735840899,393,486,False,14,8602
982,3367668,0.9997084886,1,118,False,2,426692
6,4066,0.9985265226,3,9,False,7,3322
13,3283,0.9960558252,32,66,False,12,38262
51,3609,0.9860655738,116,158,False,17,53
4610,6342,0.5790723156,518,695,False,11,7723
146,7325,0.9804577700,3783,7764,False,13,3414
83,5144,0.9841209107,18,10,False,10,265
4947,5601,0.5310011377,716,372,False,6,4695
8,2255,0.9964648696,40,47,False,20,1
460,2766,0.8574085555,278,874,False,11,2401
2,3900,0.9994874423,2,80,False,20,0
175,1823,0.9124124124,114,123,False,15,26
224,7240,0.9699892819,2167,138,False,18,3
33,1552,0.9791798107,18,287,False,20,1
4063,5650,0.5816946361,380,712,False,10,6087
234,2070,0.8984375000,209,87,False,7,30343
483,1548,0.7621861152,301,692,False,20,54
265,5312,0.9524834140,293,356,False,6,30048
127,5538,0.9775816417,1768,1969,False,11,15082
332,2911,0.8976256553,101,131,False,11,21119
50,1252,0.9615975422,25,9,False,3,682
80,26,0.2452830189,212,355,False,12,206
172,16283,0.9895472501,141,7022,False,13,0
323,5515,0.9446728332,53,127,False,19,5475
8300,10126,0.5495495495,7287,2159,False,8,5286
96,638,0.8692098093,4,4,False,2,1
99,420,0.8092485549,733,1152,False,9,76
33,12774,0.9974232841,1123,4070,False,19,84
217,2720,0.9261150834,166,176,False,20,4
429,2884,0.8705101117,778,1239,False,5,4690
600,3033,0.8348472337,38,533,False,20,5
4964,5028,0.5032025620,1849,2955,False,11,8831
477,79,0.1420863309,21,4,False,3,27
3020,1773,0.3699144586,463,643,False,13,23557
222,2655,0.9228362878,322,606,False,14,4938
116,12059,0.9904722793,1396,3517,False,15,11351
972,2506,0.7205290397,31,157,False,18,21
492,1089,0.6888045541,5,4,False,1,407
-1,-1,-1,-1,-1,-1,-1,-1
72,1367,0.9499652536,0,249,False,15,5287
673,2711,0.8011229314,914,1015,False,18,11
1236,1174,0.4871369295,212,430,False,18,9
4,516,0.9923076923,1,20,False,18,2
74,150,0.6696428571,65,71,False,20,43
